Product_id,Product,,SubKey,Subcategory,CatKey,Category,City,State,country,Quantity,SalesAmout,TaxAmount,Year
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Ballard,Washington,United States,5,174.95,13.996,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Ballard,Washington,United States,4,139.96,11.1968,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Beaverton,Oregon,United States,2,69.98,5.5984,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Beaverton,Oregon,United States,13,454.87,36.3896,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bellflower,California,United States,8,279.92,22.3936,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bellflower,California,United States,12,419.88,33.5904,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bellingham,Washington,United States,6,209.94,16.7952,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bellingham,Washington,United States,13,454.87,36.3896,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bendigo,Victoria,Australia,5,174.95,13.996,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bendigo,Victoria,Australia,7,244.93,19.5944,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berkeley,California,United States,12,419.88,33.5904,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berkeley,California,United States,10,349.9,27.992,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berks,England,United Kingdom,8,279.92,22.3936,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berkshire,England,United Kingdom,2,69.98,5.5984,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berlin,Hamburg,Germany,1,34.99,2.7992,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berlin,Hessen,Germany,3,104.97,8.3976,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berlin,Hessen,Germany,3,104.97,8.3976,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berlin,Nordrhein-Westfalen,Germany,1,34.99,2.7992,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berlin,Nordrhein-Westfalen,Germany,4,139.96,11.1968,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berlin,Saarland,Germany,2,69.98,5.5984,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Berlin,Saarland,Germany,2,69.98,5.5984,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Beverly Hills,California,United States,7,244.93,19.5944,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Beverly Hills,California,United States,12,419.88,33.5904,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Billericay,England,United Kingdom,2,69.98,5.5984,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Billericay,England,United Kingdom,6,209.94,16.7952,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Birmingham,England,United Kingdom,1,34.99,2.7992,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Birmingham,England,United Kingdom,4,139.96,11.1968,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bobigny,Seine Saint Denis,France,7,244.93,19.5944,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bobigny,Seine Saint Denis,France,2,69.98,5.5984,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bonn,Hamburg,Germany,3,104.97,8.3976,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bonn,Hamburg,Germany,2,69.98,5.5984,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bonn,Nordrhein-Westfalen,Germany,3,104.97,8.3976,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bonn,Nordrhein-Westfalen,Germany,3,104.97,8.3976,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bottrop,Nordrhein-Westfalen,Germany,1,34.99,2.7992,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bottrop,Nordrhein-Westfalen,Germany,3,104.97,8.3976,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Boulogne-Billancourt,Hauts de Seine,France,1,34.99,2.7992,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Boulogne-Billancourt,Hauts de Seine,France,1,34.99,2.7992,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Boulogne-sur-Mer,Pas de Calais,France,3,104.97,8.3976,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bountiful,Utah,United States,1,34.99,2.7992,2007
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bracknell,England,United Kingdom,3,104.97,8.3976,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Bradenton,Florida,United States,1,34.99,2.7992,2008
214,Sport-100 Helmet, Red,31,Helmets,4,Accessories,Braunschweig,Nordrhein-Westfalen,Germany,4,139.96,11.1968,2007
